,S. No.,Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Platform,Hours,earnings,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Playstyle,accept,GAD_T,SWL_T,SPIN_T
49,51,2015-02-17 20:24:55,1,1,1,0,1,0,0,Somewhat difficult,3,4,4,3,2,"Console (PS, Xbox, ...)",18,I play for fun,having fun,Not applicable,10,1,3,1,2,0,1,1,1,1,2,1,2,0,1,2,0,1,2,Male,18,Student at college / university,Singleplayer,Accept,4,16,20
51,53,2015-02-17 20:39:56,0,0,0,0,0,1,0,Not difficult at all,1,1,6,1,4,PC,10,I play for fun,having fun,na,2,0,0,1,2,0,0,0,3,3,0,2,0,0,0,0,0,0,3,Male,28,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,1,13,11
53,55,2015-02-17 21:05:08,2,2,2,1,0,1,0,Somewhat difficult,6,6,5,5,6,"Console (PS, Xbox, ...)",11,I play for fun,having fun,0,0,0,0,1,1,3,3,0,1,1,0,0,3,0,1,2,1,0,2,Female,22,Student at college / university,Multiplayer - online - with strangers,Accept,8,28,17
56,59,2015-02-17 21:29:49,0,0,0,0,0,0,0,Not difficult at all,6,6,6,6,7,"Console (PS, Xbox, ...)",10,I play for fun,having fun,not applicable,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,Male,24,Student at college / university,Multiplayer - offline (people in the same room),Accept,0,31,6
57,60,2015-02-17 21:31:42,0,1,1,1,0,0,3,Somewhat difficult,2,2,1,1,1,PC,20,I play for fun,having fun,0,5,0,1,0,0,1,1,0,0,1,0,4,3,0,1,1,0,0,1,Male,20,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,6,7,13
58,61,2015-02-17 21:34:42,3,3,1,1,0,1,0,Somewhat difficult,4,6,3,4,3,PC,0,I play for fun,having fun,I don't know what that means,0,1,0,2,3,1,2,0,3,3,3,4,2,0,1,1,1,0,2,Male,19,Student at college / university,Singleplayer,Accept,9,20,27
65,68,2015-02-18 00:30:32,1,1,1,0,0,2,1,Not difficult at all,5,7,6,3,7,PC,2,I play for fun,relaxing,/,1,1,0,3,0,4,0,1,1,1,0,4,4,0,3,2,0,1,1,Female,24,Student at college / university,Singleplayer,Accept,6,28,25
69,72,2015-02-18 02:06:20,0,0,0,0,0,0,0,Not difficult at all,5,5,5,5,5,PC,10,I play for fun,having fun,_,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,0,25,68
73,76,2015-02-18 11:31:06,2,3,3,2,3,3,3,Not difficult at all,6,6,7,6,4,PC,25,I play for fun,improving,"Legendary Eagle at CS, no league yet at LoL",5,1,2,1,4,4,4,0,2,4,4,4,4,4,4,4,0,1,5,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,19,29,47
76,79,2015-02-18 12:19:43,0,0,1,1,1,0,1,Somewhat difficult,5,5,5,5,2,PC,30,I play for fun,having fun,Global top 0.5%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Male,21,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,22,0
77,80,2015-02-18 13:13:17,2,1,1,1,0,1,2,Somewhat difficult,4,5,4,3,1,PC,20,I play for fun,improving,Gold,5,1,1,0,1,1,1,2,3,2,2,1,3,2,1,1,1,2,2,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,8,17,25
83,86,2015-02-18 16:21:13,3,3,3,3,2,3,1,Very difficult,2,3,4,3,3,PC,10,I play for fun,improving,Bronze 5,5,1,4,3,0,2,2,3,2,0,0,0,2,2,2,4,1,2,1,Female,20,Employed,Multiplayer - online - with strangers,Accept,18,15,30
87,90,2015-02-18 18:09:29,1,0,1,1,1,1,0,Somewhat difficult,6,6,6,7,2,PC,12,I play for fun,having fun,potato,6,1,0,1,2,0,0,0,0,1,1,0,0,0,2,3,0,0,3,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,5,27,11
95,99,2015-02-19 10:17:08,1,0,1,1,0,2,0,Somewhat difficult,2,6,3,4,3,PC,8,I play for fun,winning,diamond,20,1,1,0,3,0,1,0,1,2,2,2,0,0,1,0,2,0,2,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,5,18,16
97,101,2015-02-19 13:14:53,0,0,0,0,1,0,0,Not difficult at all,5,5,5,6,3,PC,25,I play for fun,winning,Diamond,25,1,1,1,2,0,0,1,1,2,0,3,0,0,1,2,0,0,1,Male,22,Employed,Multiplayer - online - with strangers,Accept,1,24,15
98,102,2015-02-19 13:19:36,1,3,2,2,2,1,0,Somewhat difficult,2,4,3,4,3,PC,16,for fun and to get better,improving,Master,5,0,3,3,3,3,3,3,3,3,3,3,2,2,3,4,1,3,1,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,11,16,45
99,103,2015-02-19 13:21:54,0,0,0,0,0,1,0,Not difficult at all,5,5,6,5,2,PC,20,I play for fun,improving,SilverII,5,1,1,1,1,2,0,0,1,1,0,0,1,0,1,2,1,2,3,Male,27,Student at college / university,Multiplayer - online - with real life friends,Accept,1,23,15
101,105,2015-02-19 13:22:13,0,0,0,0,0,0,0,Not difficult at all,6,6,6,5,6,PC,50,I play for fun,improving,Platinum 3,4,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Male,20,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,0,29,5
102,106,2015-02-19 13:22:48,2,2,3,1,1,3,1,Very difficult,2,3,1,1,1,PC,12,I play for fun,winning,gold 4,5,2,2,2,4,4,4,0,2,3,3,4,4,2,3,4,3,4,2,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,13,8,50
103,107,2015-02-19 13:23:30,3,3,3,3,2,0,1,Extremely difficult,2,2,1,1,1,PC,28,I play for fun,having fun,unranked,20,0,2,4,3,2,3,1,4,4,2,1,0,0,3,3,0,1,1,Male,19,Unemployed / between jobs,Singleplayer,Accept,15,7,33
104,108,2015-02-19 13:23:36,0,0,1,0,0,1,1,Somewhat difficult,5,5,6,2,1,PC,25,I play for fun,improving,Gold IV,5,1,1,0,2,2,2,2,1,2,2,1,0,0,1,1,1,2,4,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,3,19,21
105,109,2015-02-19 13:24:18,0,0,0,0,0,0,0,Not difficult at all,6,6,6,6,6,PC,42,I play for fun,having fun,Diamond,4,1,2,1,1,1,1,0,2,1,0,1,0,0,1,1,1,1,3,Male,27,Employed,"Multiplayer - Online - With real friends, and with online acquaintances, and strangers",Accept,0,30,15
107,111,2015-02-19 13:24:59,1,1,1,1,0,1,0,Somewhat difficult,1,7,1,1,1,PC,14,I play for fun,relaxing,Platinum,4,0,0,0,4,2,0,0,2,1,1,0,1,0,0,0,0,0,1,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,5,11,11
108,112,2015-02-19 13:26:21,1,3,3,1,0,1,0,Somewhat difficult,1,7,5,1,1,PC,80,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",Reaching goal i.e. GM ,Masters,35,1,0,0,2,2,4,4,2,4,0,4,4,0,3,2,1,4,2,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,9,15,37
109,113,2015-02-19 13:27:41,1,1,1,1,2,2,1,Somewhat difficult,2,2,1,2,1,PC,50,I play for fun,improving,Gold,5,2,1,3,4,3,2,1,3,4,3,1,1,1,2,0,2,1,2,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,9,8,34
110,114,2015-02-19 13:28:17,1,0,1,1,2,2,0,Somewhat difficult,1,6,1,1,2,PC,40,I play for fun,having fun,Challenger,15,1,3,3,3,0,1,2,3,4,4,3,1,0,2,1,1,3,1,Male,22,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,7,11,35
111,116,2015-02-19 13:31:22,0,0,1,1,0,0,0,Somewhat difficult,3,4,5,2,2,PC,10,I play for fun,having fun,Unranked,20,1,2,0,3,0,1,3,3,4,1,4,1,0,0,0,0,2,1,Female,20,Employed,Multiplayer - online - with real life friends,Accept,2,16,25
112,117,2015-02-19 13:31:40,0,0,0,1,0,1,0,Not difficult at all,6,6,6,6,6,PC,10,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Masters,5,0,1,1,2,0,1,2,1,1,0,1,0,0,1,1,0,0,2,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,2,30,12
113,118,2015-02-19 13:34:40,0,1,1,0,1,0,1,Somewhat difficult,3,6,2,7,1,PC,28,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Diamond,10,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Male,21,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,19,4
114,119,2015-02-19 13:34:56,1,1,1,1,1,3,0,Somewhat difficult,1,2,1,3,1,PC,30,I play for fun,having fun,Gold 1 promo to plat,20,2,0,2,1,4,1,0,2,1,0,1,4,0,3,1,0,0,2,Male,20,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,8,8,22
115,120,2015-02-19 13:35:16,3,1,2,1,0,1,0,Not difficult at all,1,6,1,2,1,PC,20,I play for fun,having fun,unranked,50,0,1,3,3,3,3,1,4,4,0,3,1,2,3,1,0,1,1,Male,23,Student at college / university,Multiplayer - online - with strangers,Accept,8,11,33
116,121,2015-02-19 13:35:27,3,3,3,1,1,3,3,Very difficult,1,1,1,1,1,PC,28,I play for fun,having fun,Gold V,8,3,2,1,3,2,3,1,2,3,0,4,3,0,3,1,1,2,3,Male,21,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,17,5,34
117,122,2015-02-19 13:35:29,1,1,1,1,0,0,0,Not difficult at all,3,5,3,3,3,PC,40,I play for fun,improving,Diamond 2,10,0,3,1,0,1,3,4,1,1,0,3,0,0,4,4,0,1,1,Male,23,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,4,17,26
118,123,2015-02-19 13:35:59,1,0,0,0,1,1,0,Somewhat difficult,2,2,2,2,1,PC,30,I play for fun,having fun,gold 1,15,0,3,2,4,4,4,2,3,1,1,4,2,1,4,3,0,2,1,Male,18,Student at school,Singleplayer,Accept,3,9,40
119,124,2015-02-19 13:36:02,1,1,3,1,1,3,3,Not difficult at all,6,6,7,5,5,PC,30,I play for fun,winning,Platinum 4,15,1,2,3,4,4,1,0,4,4,4,4,1,3,3,4,0,4,2,Male,18,Employed,Multiplayer - online - with real life friends,Accept,13,29,46
120,125,2015-02-19 13:36:43,0,0,1,1,0,0,0,Somewhat difficult,5,6,6,4,2,PC,30,I play for fun,improving,Gold 5,8,0,1,3,0,1,2,0,2,3,0,4,0,0,0,1,0,0,2,Female,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,2,23,17
121,126,2015-02-19 13:37:02,1,0,1,2,0,2,0,Not difficult at all,2,3,4,2,6,PC,17,I play for fun,improving,lvl28,5,1,2,1,1,0,0,0,0,1,0,0,1,1,2,0,1,0,4,Male,27,Employed,Multiplayer - online - with strangers,Accept,6,17,11
122,127,2015-02-19 13:37:05,0,0,0,1,1,1,0,Not difficult at all,3,4,5,4,3,PC,30,I play for fun,having fun,Bronze 1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,0,1,Male,20,Employed,Multiplayer - online - with real life friends,Accept,3,19,6
123,128,2015-02-19 13:37:34,0,0,1,1,0,2,0,Somewhat difficult,3,6,5,5,3,PC,7,I play for fun,having fun,Silver 2,14,0,2,0,3,1,1,0,3,2,0,3,0,0,1,1,0,1,1,Male,34,Employed,Multiplayer - online - with strangers,Accept,4,22,18
124,129,2015-02-19 13:38:07,2,1,1,0,0,3,0,Somewhat difficult,1,2,1,1,1,PC,14,I play for fun,winning,Masters,10,2,2,3,4,4,3,1,2,4,2,4,4,0,4,4,2,1,2,Male,19,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,7,6,46
125,130,2015-02-19 13:38:20,1,1,1,1,0,1,1,Somewhat difficult,2,5,4,5,5,PC,30,I play for fun,having fun,Gold,5,1,1,1,2,1,3,2,0,2,1,3,3,1,2,2,1,2,2,Male,21,Student at college / university,Singleplayer,Accept,6,21,28
127,132,2015-02-19 13:39:57,1,1,0,1,2,0,0,Not difficult at all,6,6,6,7,6,PC,10,I play for fun,having fun,Gold 5,1,1,1,1,3,1,1,2,2,3,1,2,1,1,2,3,1,1,1,Female,20,Student at college / university,With strangers and friends,Accept,5,31,27
129,135,2015-02-19 13:42:32,2,3,2,1,0,1,2,Somewhat difficult,6,7,6,3,5,PC,40,I play for fun,having fun,diamond 4,15,2,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,Female,18,Student at school,Multiplayer - online - with real life friends,Accept,11,27,7
130,136,2015-02-19 13:43:37,0,0,1,0,0,0,0,Not difficult at all,6,6,6,6,7,PC,12,I play for fun,improving,Platin V,5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,4,Male,25,Employed,Multiplayer - online - with real life friends,Accept,1,31,5
132,138,2015-02-19 13:43:48,1,0,1,2,0,1,1,Somewhat difficult,6,6,6,7,6,PC,13,I play for fun,improving,Gold,20,2,0,2,2,2,2,2,2,1,1,0,0,0,0,2,0,1,3,Male,23,Student at college / university,Multiplayer - online - with real life friends,Accept,6,31,19
134,140,2015-02-19 13:48:05,0,0,0,0,0,0,1,Not difficult at all,5,6,6,6,4,PC,16,I play for fun,having fun,Gold 1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,1,27,2
136,142,2015-02-19 13:48:23,0,0,1,0,0,1,0,Not difficult at all,5,5,5,4,3,PC,12,I play for fun,improving,Gold 3,3,0,2,0,0,1,2,1,0,1,0,3,1,1,1,1,0,2,3,Male,18,Employed,Multiplayer - online - with real life friends,Accept,2,22,16
137,143,2015-02-19 13:48:25,1,2,2,1,2,2,0,Somewhat difficult,2,2,3,4,5,PC,21,I play for fun,having fun,Silver 2,5,0,1,0,2,1,3,4,2,2,0,2,0,2,1,2,0,1,1,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,10,16,23
138,144,2015-02-19 13:48:37,0,0,1,1,0,0,1,Somewhat difficult,5,5,5,4,5,PC,5,I play for fun,having fun,Gold V,10,1,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,Male,23,Employed,Multiplayer - online - with real life friends,Accept,3,24,8
139,145,2015-02-19 13:49:35,0,0,1,1,1,1,0,Not difficult at all,5,4,5,3,3,PC,40,I play for fun,improving,Diamond,3,1,1,0,2,0,1,1,0,1,1,2,0,0,1,1,1,1,2,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,4,20,14
140,146,2015-02-19 13:49:54,1,1,1,0,0,0,0,Not difficult at all,2,6,5,1,1,PC,10,I play for fun,improving,Diamond,10,0,0,2,1,0,1,0,3,3,0,1,0,0,1,1,0,0,2,Male,21,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,3,15,13
141,147,2015-02-19 13:50:06,1,1,0,1,0,1,1,Not difficult at all,5,5,6,5,4,PC,11,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Challenger,2,1,0,0,1,1,2,0,0,0,0,1,0,0,1,1,0,0,1,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,5,25,8
143,149,2015-02-19 13:50:42,1,0,0,0,3,1,0,Not difficult at all,2,6,5,6,6,PC,30,I play for fun,improving,Gold 5,10,1,2,2,3,3,3,1,0,2,4,4,3,0,2,3,0,3,2,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,5,25,36
144,150,2015-02-19 13:51:32,2,2,2,1,1,1,0,Somewhat difficult,3,6,5,4,2,PC,12,I play for fun,winning,Platinum,5,0,1,0,3,2,3,2,4,4,3,4,1,0,3,0,0,2,3,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,9,20,32
145,151,2015-02-19 13:51:41,2,0,0,1,1,0,0,Not difficult at all,6,6,6,6,7,PC,15,I play for fun,having fun,Masters,20,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,3,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,4,31,4
146,152,2015-02-19 13:52:02,0,0,0,0,1,0,1,Not difficult at all,5,5,5,6,5,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Diamond,5,0,1,0,2,0,1,0,1,1,0,3,0,0,1,2,0,0,1,Male,24,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,2,26,12
147,153,2015-02-19 13:52:02,0,0,0,0,0,0,0,Not difficult at all,5,5,5,4,5,PC,20,I play for fun,improving,Masters,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,Male,25,Employed,Multiplayer - online - with strangers,Accept,0,24,3
149,155,2015-02-19 13:55:37,0,1,3,1,0,1,0,Not difficult at all,1,4,1,1,1,PC,21,I play for fun,improving,Platin moving to diamond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,6,8,0
150,156,2015-02-19 13:56:24,1,0,0,1,0,1,0,Not difficult at all,2,3,3,1,4,PC,50,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",relaxing,Diamond 1,10,0,1,0,3,2,3,2,0,1,2,4,2,0,1,1,0,0,2,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,3,13,22
151,157,2015-02-19 13:56:49,0,0,0,0,0,1,0,Not difficult at all,2,5,6,2,3,PC,20,I play for fun,having fun,Gold 3,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,Male,23,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,1,18,3
152,158,2015-02-19 13:56:55,1,1,1,1,2,0,0,Somewhat difficult,5,6,5,4,3,PC,25,I play for fun,improving,Diamond 5,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,2,Male,22,Employed,Multiplayer - online - with real life friends,Accept,6,23,6
153,159,2015-02-19 13:57:19,1,0,0,0,0,0,0,Somewhat difficult,5,6,6,5,5,PC,17,I play for fun,having fun,Gold III,0,1,2,0,2,1,0,0,1,2,0,1,0,0,0,0,0,0,1,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,1,27,10
154,160,2015-02-19 13:57:24,0,0,0,0,0,1,0,Not difficult at all,7,5,7,5,7,PC,50,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",Improving AND having fun (kinda wish I could pick more than one),Platinum 2,5,0,1,0,1,0,1,0,1,1,0,3,0,1,1,0,0,0,1,Male,18,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,1,31,10
155,161,2015-02-19 13:58:26,0,0,0,0,0,1,0,Somewhat difficult,2,4,4,2,3,PC,80,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Promos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,Male,29,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,1,15,1
158,164,2015-02-19 14:00:16,1,2,3,2,3,0,0,Not difficult at all,4,2,5,2,1,PC,10,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Diamond,10,4,1,0,3,0,0,0,1,4,1,0,0,0,3,0,4,2,1,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,11,14,23
160,166,2015-02-19 14:02:36,1,1,1,3,0,3,0,Not difficult at all,3,3,5,7,4,PC,40,I play for fun,improving,Diamond,5,0,0,0,3,0,0,0,0,0,0,4,4,0,4,4,0,4,5,Male,25,Employed,Multiplayer - online - with strangers,Accept,9,22,23
161,167,2015-02-19 14:02:56,0,0,0,0,0,0,0,Not difficult at all,6,5,6,4,7,PC,10,I play for fun,having fun,Bronze IV,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,0,28,1
162,168,2015-02-19 14:04:01,1,0,0,1,1,0,0,Somewhat difficult,2,6,4,6,5,PC,7,I play for fun,improving,Diamond,4,1,1,1,2,0,1,1,1,1,0,0,0,0,0,1,0,0,3,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,3,23,10
165,171,2015-02-19 14:06:06,1,1,1,0,0,0,1,Somewhat difficult,6,6,6,6,6,PC,20,I play for fun,having fun,gold,10,1,0,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,4,Male,23,Student at college / university,Multiplayer - online - with real life friends,Accept,4,30,8
166,173,2015-02-19 14:07:20,0,0,0,1,0,2,0,Not difficult at all,6,6,7,7,7,PC,14,I play for fun,improving,Silver 1,6,0,1,0,1,0,0,2,1,0,0,0,1,0,1,0,0,1,3,Male,29,Employed,Multiplayer - online - with real life friends,Accept,3,33,8
